,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,komsomolskiy,40.43,71.72,53.6,62,0,6.93,UZ,1602518383
88,te anau,-45.42,167.72,41.4,89,66,1.32,NZ,1602518383
89,mar del plata,-38.0,-57.56,59.0,82,40,9.17,AR,1602518202
90,kankon,15.02,74.02,75.2,100,75,3.36,IN,1602518569
91,grindavik,63.84,-22.43,44.6,87,75,12.75,IS,1602518387
92,mugur-aksy,50.35,90.5,27.81,87,100,4.45,RU,1602518569
93,saint george,37.1,-113.58,57.2,28,1,5.82,US,1602518162
94,provideniya,64.38,-173.3,31.75,92,96,9.28,RU,1602518369
95,airai,-8.93,125.41,59.92,94,80,2.84,TL,1602518381
96,hoquiam,46.98,-123.89,55.99,71,1,6.93,US,1602518378
97,frutal,-20.02,-48.94,95.18,26,59,5.61,BR,1602518569
98,kenai,60.55,-151.26,37.0,93,90,3.36,US,1602518569
99,ponta do sol,32.67,-17.1,75.2,60,20,21.92,PT,1602518391
100,caraballeda,10.61,-66.85,81.0,53,24,4.63,VE,1602518570
101,novovarshavka,54.17,74.69,50.56,84,100,12.84,RU,1602518375
102,ugoofaaru,5.67,73.0,83.48,77,100,21.25,MV,1602518570
103,husavik,66.04,-17.34,48.2,61,33,12.75,IS,1602518379
104,novopokrovka,49.84,36.55,59.0,93,75,4.47,UA,1602518570
105,saskylakh,71.92,114.08,14.04,94,95,8.93,RU,1602518382
106,ribeira grande,38.52,-28.7,71.6,64,75,10.29,PT,1602518374
107,tura,25.52,90.22,74.39,90,0,2.46,IN,1602518371
108,longyearbyen,78.22,15.64,24.8,58,75,8.05,SJ,1602518373
109,deputatskiy,69.3,139.9,9.3,96,9,1.5,RU,1602518570
110,kavieng,-2.57,150.8,82.47,72,97,5.23,PG,1602518393
111,atuona,-9.8,-139.03,78.15,74,18,15.57,PF,1602518368
112,baykit,61.67,96.37,25.23,85,76,3.31,RU,1602518441
113,voh,-20.97,164.7,72.07,87,44,4.68,NC,1602518571
114,olginskaya,47.19,39.95,66.2,63,86,6.71,RU,1602518571
115,mahebourg,-20.41,57.7,71.6,94,75,5.82,MU,1602518380
116,kulhudhuffushi,6.62,73.07,83.16,76,73,21.63,MV,1602518571
117,pandan,14.05,124.17,81.18,85,100,7.67,PH,1602518571
118,kahului,20.89,-156.47,75.99,78,20,5.82,US,1602518370
119,tuatapere,-46.13,167.68,40.01,88,21,1.99,NZ,1602518409
120,helena,46.59,-112.04,55.4,68,20,10.29,US,1602518571
121,katsuura,35.13,140.3,71.01,85,54,1.99,JP,1602518388
122,port hardy,50.7,-127.42,44.6,100,75,3.36,CA,1602518392
123,oistins,13.07,-59.53,87.8,70,20,14.99,BB,1602518383
124,nampula,-15.12,39.27,75.69,81,88,9.8,MZ,1602518572
125,san cristobal,7.77,-72.22,89.6,46,40,21.92,VE,1602518572
126,sur,22.57,59.53,81.25,70,0,11.77,OM,1602518572
127,portland,45.52,-122.68,55.4,87,90,4.7,US,1602518005
128,geraldton,-28.77,114.6,64.4,88,0,8.05,AU,1602518391
129,east london,-33.02,27.91,66.2,72,46,13.87,ZA,1602518366
130,kalmunai,7.42,81.82,81.68,64,39,8.08,LK,1602518572
131,sinnamary,5.38,-52.95,87.91,58,29,10.11,GF,1602518572
132,mabaruma,8.2,-59.78,86.86,68,15,5.59,GY,1602518572
133,upernavik,72.79,-56.15,33.48,92,44,7.27,GL,1602518383
134,barrow,71.29,-156.79,26.6,58,90,3.36,US,1602518368
135,batemans bay,-35.72,150.18,59.0,96,2,1.01,AU,1602518573
136,abha,18.22,42.51,71.6,68,20,9.17,SA,1602518573
137,yeppoon,-23.13,150.73,68.0,77,40,5.82,AU,1602518389
138,comodoro rivadavia,-45.87,-67.5,66.2,32,19,11.41,AR,1602518099
139,meadow lake,34.8,-106.54,64.0,22,1,6.93,US,1602518573
140,namatanai,-3.67,152.43,79.63,83,11,6.69,PG,1602518573
141,south sioux city,42.47,-96.41,51.8,71,1,10.29,US,1602518528
142,falam,22.92,93.68,60.15,100,7,1.5,MM,1602518573
143,ostrovnoy,68.05,39.51,43.99,90,100,2.33,RU,1602518430
144,port elizabeth,-33.92,25.57,66.2,72,17,11.41,ZA,1602518370
145,poum,-20.23,164.02,76.24,81,24,10.22,NC,1602518372
146,araouane,18.9,-3.53,100.58,16,58,10.58,ML,1602518573
147,norman wells,65.28,-126.83,19.4,92,75,5.82,CA,1602518387
148,sechura,-5.56,-80.82,74.3,60,45,10.42,PE,1602518424
149,kilindoni,-7.91,39.67,80.98,82,0,11.74,TZ,1602518574
150,aklavik,68.22,-135.01,21.2,92,90,11.41,CA,1602518372
151,houma,29.6,-90.72,84.99,88,40,6.93,US,1602518532
152,estelle,29.85,-90.11,84.99,83,40,9.17,US,1602518365
153,acari,-15.43,-74.62,73.92,49,71,8.3,PE,1602518574
154,brae,60.4,-1.35,46.4,93,75,8.05,GB,1602518574
155,georgetown,5.41,100.34,77.0,94,40,4.7,MY,1602518373
156,clyde river,70.47,-68.59,32.0,98,90,5.82,CA,1602518317
157,tarko-sale,64.92,77.78,36.55,95,100,7.9,RU,1602518574
158,qaanaaq,77.48,-69.36,34.36,88,100,3.96,GL,1602518376
159,iquique,-20.22,-70.14,66.2,63,20,8.05,CL,1602518295
160,qinhuangdao,39.93,119.59,52.65,41,0,8.66,CN,1602518574
161,ribeira brava,32.65,-17.07,75.2,60,20,21.92,PT,1602518575
162,coahuayana,18.73,-103.68,71.6,83,90,1.32,MX,1602518423
163,klaksvik,62.23,-6.59,46.4,87,100,9.17,FO,1602518383
